
RD Chahar,4,0,24,1,6.00,10,2,0,0,0

R Ashwin,4,0,18,0,4.50,11,1,0,0,0
K Rabada,3,0,27,0,9.00,7,2,1,0,0
A Nortje,2.2,0,25,1,10.71,6,4,1,0,0
MP Stoinis,1,0,4,0,4.00,2,0,0,0,0
P Dubey,3,0,29,0,9.66,4,3,1,0,0
HV Patel,1,0,8,0,8.00,2,1,0,1,0

JC Archer,4,0,26,2,6.50,13,3,1,0,0
VR Aaron,4,0,47,0,11.75,12,2,4,4,1
Kartik Tyagi,4,0,47,0,11.75,9,3,4,0,1
S Gopal,1,0,10,0,10.00,1,0,1,0,0
BA Stokes,4,0,32,2,8.00,6,2,1,3,0
R Tewatia,3,0,22,0,7.33,6,0,2,0,0

Arshdeep Singh,3,0,34,0,11.33,3,4,1,0,0
Mohammed Shami,3,0,36,0,12.00,6,6,1,0,0
M Ashwin,4,0,43,1,10.75,7,2,4,0,0
CJ Jordan,3.3,0,44,1,12.57,6,3,3,2,0
Ravi Bishnoi,4,0,27,0,6.75,10,2,1,1,0

DL Chahar,3,0,31,0,10.33,5,6,0,0,0
SM Curran,3,0,21,0,7.00,8,3,0,0,0
L Ngidi,4,0,34,2,8.50,9,5,0,1,0
MJ Santner,3,0,30,1,10.00,5,4,1,0,0
RA Jadeja,3,0,20,1,6.66,6,2,0,0,0
KV Sharma,4,0,35,1,8.75,9,0,4,0,0

PJ Cummins,4,0,31,2,7.75,10,4,0,1,0
KL Nagarkoti,3,0,34,0,11.33,6,0,4,0,0
SP Narine,4,0,23,0,5.75,5,1,0,0,0
LH Ferguson,4,0,54,0,13.50,4,6,2,2,1
CV Varun,4,0,20,2,5.00,13,1,1,0,0
N Rana,1,0,16,0,16.00,0,3,0,1,0

TA Boult,4,0,40,1,10.00,10,6,1,1,0
JJ Bumrah,4,1,14,3,3.50,15,1,0,1,0
KH Pandya,4,0,27,0,6.75,8,3,0,0,0
JL Pattinson,3,0,35,0,11.66,4,5,1,0,0
RD Chahar,4,0,43,1,10.75,8,6,1,1,0
KA Pollard,1,0,5,1,5.00,2,0,0,0,0

CH Morris,4,0,36,1,9.00,10,3,2,1,0
DW Steyn,4,0,43,0,10.75,10,3,3,3,0
Washington Sundar,4,0,20,0,5.00,10,1,0,1,0
Mohammed Siraj,3.1,0,28,2,8.84,10,5,0,1,0
YS Chahal,4,0,37,2,9.25,8,3,2,0,0

A Nortje,4,0,37,1,9.25,11,6,0,3,0
K Rabada,4,0,54,0,13.50,6,7,2,0,0
